index,len_payload,fernet_enc,fernet_dec,rsa_enc,rsa_dec
0,166,0.002366000000620261,0.00027779999072663486,0.001990099990507588,0.0014987000031396747
1,166,6.78999931551516e-05,3.6200013710185885e-05,4.6900007873773575e-05,0.00033239999902434647
2,172,3.779999678954482e-05,2.6399997295811772e-05,4.099999205209315e-05,0.0003328000020701438
3,170,3.269998705945909e-05,2.4600012693554163e-05,4.149999585933983e-05,0.00033680000342428684
4,172,3.259998629800975e-05,2.5300018023699522e-05,4.0799990529194474e-05,0.0003242999955546111
5,172,2.9099988751113415e-05,2.570002106949687e-05,3.759999526664615e-05,0.0003257000062149018
6,172,3.2899988582357764e-05,2.2799998987466097e-05,3.850000211969018e-05,0.00031549998675473034
7,168,3.0800001695752144e-05,2.2899999748915434e-05,3.7299992982298136e-05,0.0003147000097669661
8,159,3.029999788850546e-05,2.2199994418770075e-05,3.7299992982298136e-05,0.00031480001052841544
9,169,2.680000034160912e-05,2.1899992134422064e-05,3.679998917505145e-05,0.00032300001475960016
10,172,2.880001557059586e-05,2.2499996703118086e-05,3.8399972254410386e-05,0.00031560001662001014
11,163,2.820001100189984e-05,2.300000051036477e-05,3.709999145939946e-05,0.00031510001281276345
12,181,2.880001557059586e-05,2.2599997464567423e-05,3.759999526664615e-05,0.000315399985993281
13,173,2.7000001864507794e-05,2.169999061152339e-05,3.689998993650079e-05,0.0003161999920848757
14,165,2.8999987989664078e-05,2.500001573935151e-05,4.789998638443649e-05,0.00034309999318793416
15,171,3.4199998481199145e-05,2.3600005079060793e-05,3.960001049563289e-05,0.00031519998447038233
16,167,2.7499976567924023e-05,2.1500018192455173e-05,7.839998579584062e-05,0.00031740000122226775
17,171,2.9099988751113415e-05,2.19999928958714e-05,3.749999450519681e-05,0.0003152000135742128
18,163,2.910001785494387e-05,2.1899992134422064e-05,3.809999907389283e-05,0.00031510001281276345
19,165,2.710000262595713e-05,2.1499989088624716e-05,3.709999145939946e-05,0.00031450000824406743
20,165,2.7400004910305142e-05,2.1299987565726042e-05,3.6699988413602114e-05,0.0003142000059597194
21,168,2.609999501146376e-05,2.13000166695565e-05,3.63999861292541e-05,0.0003147000097669661
22,166,2.6299996534362435e-05,2.160001895390451e-05,3.63999861292541e-05,0.0003231000155210495
